prepared_state,measured_0,measured_1,error_rate,error_type,noise_strength,gate_count,circuit_depth,has_h_gate
0,459,565,0.2041015625,readout,0.40607887822422134,11,12,1
1,536,488,0.0322265625,bit_flip,0.2791270312543782,7,9,1
1,503,521,0.0048828125,readout,0.21729541273366834,6,8,1
0,567,457,0.2958984375,bit_flip,0.10288267992653627,12,13,1
0,510,514,0.0048828125,phase_flip,0.2107675378013549,8,9,1
0,514,510,0.041015625,bit_flip,0.1684298272990064,17,18,1
0,520,504,0.0048828125,bit_flip,0.3793098720168768,19,20,1
0,522,502,0.509765625,bit_flip,0.3961286236063673,5,6,0
0,503,521,0.0107421875,readout,0.3476521926918381,8,9,1
0,516,508,0.365234375,depolarizing,0.2898753592158873,19,20,1
0,525,499,0.005859375,phase_flip,0.36165106709339745,13,14,1
0,493,531,0.3203125,bit_flip,0.13678338959388922,13,14,1
0,700,324,0.0576171875,readout,0.09188563317901556,13,14,1
0,507,517,0.009765625,phase_flip,0.08859380235307902,15,16,1
0,537,487,0.322265625,bit_flip,0.28259772803455474,6,7,1
1,530,494,0.0322265625,readout,0.2251662931060823,15,17,1
1,495,529,0.0009765625,readout,0.08908476697108096,19,21,1
1,478,546,0.30859375,bit_flip,0.12648383349811912,11,13,1
0,518,506,0.0107421875,depolarizing,0.4473920116469563,15,16,1
0,443,581,0.2919921875,readout,0.37043158062249304,12,13,1
1,1024,0,0.0,phase_flip,0.22083310173238072,5,7,0
1,448,576,0.412109375,bit_flip,0.30129890174598734,12,14,1
0,483,541,0.0048828125,readout,0.010789902089835754,16,17,1
1,591,433,0.294921875,depolarizing,0.07030569859335457,18,20,1
0,483,541,0.0166015625,depolarizing,0.2680282288082747,8,9,1
0,527,497,0.0107421875,phase_flip,0.3082825442375291,8,9,1
1,519,505,0.369140625,phase_flip,0.3892324813263212,19,21,1
1,219,805,0.2138671875,phase_flip,0.03915667190336513,14,16,1
0,515,509,0.0322265625,phase_flip,0.04243950356930572,6,7,1
1,505,519,0.5068359375,bit_flip,0.2713133825022918,9,11,1
